#,hora_local,hora_utc,cuenta,nombre,tipo,likes,reposts,respuestas,texto,url
1,2026-09-24 10:30,2026-09-24 15:30,@NexJournal,NexJournal,,1,1,0,"| El Vicepresidente José Manuel Restrepo propuso en Nueva York un programa piloto con Microsoft para impulsar la formación en IA y computación cuántica. Según informó el alto funcionario a Canal 1, la iniciativa busca consolidar la agenda tecnológica del gobierno de",https://x.com/NexJournal/status/2103144969112293483
2,2026-09-24 11:46,2026-09-24 16:46,@Emirates_News,Emirates News,,1,1,0,"HH Sheikh Abdullah bin Zayed Al Nahyan met with José Manuel Restrepo, Vice President of Colombia, on the sidelines of the 81st session of the United Nations General Assembly (UNGA) in New York. #EmiratesNews #DubaiOneTv #Dubai #News",https://x.com/Emirates_News/status/2103164293445210138
3,2026-09-24 11:59,2026-09-24 16:59,@CABLENOTICIAS,CABLENOTICIAS,,1,0,0,EN VIVO | Vicepresidente José Manuel Restrepo habla ante la ONU | CABLENOTICIAS,https://x.com/CABLENOTICIAS/status/2103167326841639360
4,2026-09-24 12:00,2026-09-24 17:00,@larepublica_co,Diario La República,,9,6,2,"#Atento I El vicepresidente, José Manuel Restrepo, entregó declaraciones antes de leer el discurso del presidente Abelardo de la Espriella en la Asamblea General de las Naciones Unidas",https://x.com/larepublica_co/status/2103167730673242473
5,2026-09-24 12:05,2026-09-24 17:05,@JulianZamudio,Julián Zamudio,,8,4,0,¡TECNOLOGÍA Y AUTORIDAD CONTRA EL CRIMEN! El VP José Manuel Restrepo fue contundente en el Escudo de las Américas: exigió fortalecer a nuestra Fuerza Pública con tecnología e inteligencia. ¡Se acabó la era donde la izquierda desarmó al Estado para premiar terroristas! Hoy,https://x.com/JulianZamudio/status/2103168945637216686
6,2026-09-24 12:05,2026-09-24 17:05,@minuto60com,Minuto60,,0,0,0,#Economía | José Manuel Restrepo aseguró en Andesco que Colombia necesita recuperar la inversión y advirtió sobre el riesgo de un apagón.,https://x.com/minuto60com/status/2103168965841195127
7,2026-09-24 12:16,2026-09-24 17:16,@CABLENOTICIAS,CABLENOTICIAS,,0,0,0,"#Noticias | Hoy, José Manuel Restrepo lleva la voz de Colombia ante la Asamblea General de la ONU en Nueva York. Conozca los detalles.",https://x.com/CABLENOTICIAS/status/2103171619002699987
8,2026-09-24 12:17,2026-09-24 17:17,@NoticiasRCN,Noticias RCN,,149,36,2,"""Estamos emocionados de presentar el discurso del presidente de Colombia ante la ONU y mostrar el inicio de un nuevo gobierno"": esto dijo el vicepresidente José Manuel Restrepo desde Nueva York antes de dar el discurso.",https://x.com/NoticiasRCN/status/2103171923060429251
9,2026-09-24 12:18,2026-09-24 17:18,@Fortencrantz,David Mauricio Castrillon Kerrigan 孔天威,,1,1,0,#UNGA81 está en sección de vicepresidentes. Habló el vicepresidente de Guinea Ecuatorial. En este momento habla el de Gambia. Y después sigue José Manuel Restrepo,https://x.com/Fortencrantz/status/2103172218134180074
10,2026-09-24 12:21,2026-09-24 17:21,@NOTICIASEDL,NOTICIAS EDL,,0,0,0,"#POLÍTICA | Antes de dar su discurso en las Naciones Unidas en Nueva York, Estados Unidos, el vicepresidente José Manuel Restrepo dijo que el equipo del Gobierno Nacional está 'emocionado de presentar el discurso del presidente y mostrar el inicio de un nuevo gobierno'.",https://x.com/NOTICIASEDL/status/2103173046286831754
11,2026-09-24 12:25,2026-09-24 17:25,@UltimaHoraCR,ÚltimaHoraCaracol,,16,6,1,"#Política | El vicepresidente José Manuel Restrepo ( @jrestrp ), en nombre del Gobierno de Colombia, llegó a la sede de la ONU en Nueva York para hacer su presentación ante la Asamblea General de las Naciones Unidas. Habló sobre la expectativa del mensaje que entregará ante la",https://x.com/UltimaHoraCR/status/2103174028806557926
12,2026-09-24 12:27,2026-09-24 17:27,@mauriciomatri,Mauricio MaTri,,8,6,0,"Vicepresidente, en sus manos encomendamos la Patria Milagro: ""Estamos emocionados de presentar el discurso del presidente de Colombia ante la ONU y mostrar el inicio de un nuevo gobierno"". Jose Manuel Restrepo todo un crack.",https://x.com/mauriciomatri/status/2103174597738721443
13,2026-09-24 12:29,2026-09-24 17:29,@Canal1_Col,Canal 1,,1,1,1,"#EnPunto | La delegación colombiana se prepara en la ONU para la intervención del vicepresidente José Manuel Restrepo, que se realizará en los próximos minutos. En el lugar están presentes el embajador ante la ONU, Mauricio Gaona; la embajadora de Colombia en Estados Unidos,",https://x.com/Canal1_Col/status/2103175117387846031
14,2026-09-24 12:31,2026-09-24 17:31,@mincultura,MinCultura Colombia,,0,2,0,Colombia tiene una voz en las grandes conversaciones del mundo. Conéctate en minutos a la intervención del vicepresidente José Manuel Restrepo ( @jrestrp ) ante el pleno de la Organización de Naciones Unidas (ONU). Transmisión en vivo https:// gadebate.un.org/es,https://x.com/mincultura/status/2103175557194113135
15,2026-09-24 12:35,2026-09-24 17:35,@larepublica_co,Diario La República,,2,0,0,"#Atento I Vicepresidencia confirmó que no hay ningún encuentro bilateral con el primer ministro de Israel, Benjamin Netanyahu, programado en la agenda del vicepresidente José Manuel Restrepo",https://x.com/larepublica_co/status/2103176563156013081
16,2026-09-24 12:37,2026-09-24 17:37,@martinoticias,Martí Noticias,,1,0,0,"Una “nueva etapa” para América Latina. El vicepresidente de Colombia José Manuel Restrepo, destacó que varios países de la región trabajan por la democracia, las libertades y la iniciativa privada como pilares para impulsar el crecimiento.",https://x.com/martinoticias/status/2103176963498319918
17,2026-09-24 12:39,2026-09-24 17:39,@onucolombia,ONU Colombia,,7,4,0,#Ahora - El vicepresidente José Manuel Restrepo interviene en el debate general de la Asamblea General de la ONU #UNGA81 Síguelo #EnVivo En español: https:// webtv.un.org/es/asset/k18/k 18iyhzwip … @ViceColombia @jrestrp,https://x.com/onucolombia/status/2103177521877454937
